k,t,h,Wc0,Wc1,Wc2,rawRad0,rawRad1,rawRad2,projRad0,projRad1,projRad2
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,3.7311979092219336e-10,3.7311979092219336e-10,5.5620081320686423e-04,1.0997574273116236e-02,2.1165832852321636e-02,8.2911535164335146e+02,3.2414962548470561e+05,1.2006666277386439e+06,8.2911535164335146e+02,3.2414962548470561e+05,1.2006666277386439e+06
3,2.2387187455331601e-09,1.8655989546109669e-09,3.3372049894659413e-03,6.5985447263561647e-02,1.2699499821477939e-01,4.9746926027883510e+03,1.9448978965851122e+06,7.2039999537743619e+06,4.9746926027883510e+03,1.9448978965851122e+06,7.2039999537743619e+06
4,1.1566713518587994e-08,9.3279947730548340e-09,1.7242228626377080e-02,3.4092485283731921e-01,6.5614085254831434e-01,2.5702591181702817e+04,1.0048642844000831e+07,3.7220671267517559e+07,2.5702591181702817e+04,1.0048642844000831e+07,3.7220671267517559e+07
5,5.8206687383862159e-08,4.6639973865274166e-08,8.6767415700972017e-02,1.7156228962356193e+00,3.3018708122487466e+00,1.2934239215411892e+05,5.0567457377940997e+07,1.8730414492574480e+08,1.2934239215411892e+05,5.0567457377940997e+07,1.8730414492574480e+08
6,2.9140655671023298e-07,2.3319986932637082e-07,4.3439507327997257e-01,8.5891385003766434e+00,1.6530537811788381e+01,6.4754909871847171e+05,2.5316377484613100e+08,9.3772444050660336e+08,6.4754909871847171e+05,2.5316377484613100e+08,9.3772444050660336e+08
7,1.4574059033420873e-06,1.1659993466318543e-06,2.1725764102422298e+00,4.2957351056864802e+01,8.2674302858735473e+01,3.2387751404996403e+06,1.2662014658108890e+09,4.6898991060265179e+09,3.2387751404996403e+06,1.2662014658108890e+09,4.6898991060265179e+09
8,1.6803470849398656e-06,2.2294118159777826e-07,2.5049279914524818e+00,4.9528735791308115e+01,9.5321191860100328e+01,3.7342587716295356e+06,1.4599067473308723e+09,5.4073355727927675e+09,3.7342587716295356e+06,1.4599067473308723e+09,5.4073355727927675e+09
9,1.9032882665376438e-06,2.2294118159777826e-07,2.8372821947592275e+00,5.6100159167600950e+01,1.0215535530928719e+02,4.2297541273821006e+06,1.6536154448910334e+09,5.7950327793969774e+09,4.2297541273821006e+06,1.6536154448910334e+09,2.3199123688755208e-07
10,2.1204235370617845e-06,2.1713527052414064e-07,3.1609836357513643e+00,6.2500484413167499e+01,1.0215535530928719e+02,4.7123568918927182e+06,1.8422827970700233e+09,5.7950444765152950e+09,4.7123568918927182e+06,1.8422827970700233e+09,-1.4709237348142779e-06
11,3.2060998896824875e-06,1.0856763526207030e-06,4.7795281411062485e+00,9.4502660264243630e+01,1.0215535530928706e+02,7.1255374912847085e+06,2.7856681404188805e+09,5.7951029642895632e+09,7.1255374912847085e+06,2.7856681404188805e+09,-2.6846487344300840e-07
12,4.1701998035794202e-06,9.6409991389693273e-07,6.2168765546466771e+00,1.0985982769045060e+02,1.0215535530928706e+02,9.2687177275603265e+06,3.2384357714930086e+09,5.7951549048889294e+09,9.2687177275603265e+06,4.8957190301734954e-07,6.4820926581887761e-07
13,5.1342997174763525e-06,9.6409991389693231e-07,7.6542739613921498e+00,1.0985982769045060e+02,1.0215535530928707e+02,1.1412116984792389e+07,3.2385179859163404e+09,5.7952068470939722e+09,1.1412116984792389e+07,-2.3560392037325073e-07,-3.8316488826239947e-07
14,9.9547992869610158e-06,4.8204995694846632e-06,1.4841995275270124e+01,1.0985982769015511e+02,1.0215535530914397e+02,2.2132395056971759e+07,3.2389283791728530e+09,5.7954665655226192e+09,2.2132395056971759e+07,-7.9491110227536410e-07,-1.6227274954871973e-06
15,2.5512122093403224e-05,1.5557322806442208e-05,3.8047438103968233e+01,1.0985982772447282e+02,1.0215535664774690e+02,5.6767398378542669e+07,3.2402445667780733e+09,5.7963045366685495e+09,5.6767398378542669e+07,8.3751729107461870e-08,-1.1458887456683442e-06
16,3.0219339051423249e-05,4.7072169580200250e-06,4.5071260971791368e+01,1.0985982772411161e+02,1.0215535415534067e+02,6.7258128405097514e+07,3.2406401789986877e+09,5.7965577459001036e+09,6.7258128405097514e+07,-3.1895342544885352e-07,-3.7077393244544510e-07
17,3.4926556009443277e-05,4.7072169580200284e-06,5.2096238905031719e+01,1.0985982772408222e+02,1.0215535395151970e+02,7.7754005221099034e+07,3.2410345246424079e+09,5.7968109625480671e+09,7.7754005221099034e+07,9.3174594439915381e-07,-6.1504766790676513e-07
18,4.2372484517029817e-05,7.4459285075865393e-06,6.3210780061282463e+01,1.0985982772401985e+02,1.0215535411132309e+02,9.4366974023231938e+07,3.2416556705455823e+09,5.7972112569553547e+09,9.4366974023231938e+07,-1.8405444279778749e-07,-5.0712105803540908e-07
19,4.8825749777119549e-05,6.4532652600897324e-06,7.2845897022992943e+01,1.0985982772401913e+02,1.0215535328067311e+02,1.0877550473668607e+08,3.2421913510112019e+09,5.7975578253085947e+09,1.0877550473668607e+08,4.0987242755363695e-07,-2.5015788196469657e-06
20,5.5279015037209281e-05,6.4532652600897324e-06,8.2483165485309172e+01,1.0985982772401904e+02,1.0215535102552933e+02,1.2319359548418707e+08,3.2427245246590395e+09,5.7979039968886633e+09,1.2319359548418707e+08,1.6788590073701926e-07,8.8762317318469286e-07
21,6.1487431862989871e-05,6.2084168257805892e-06,9.1756802848047883e+01,1.0985982772401900e+02,1.0215534442587179e+02,1.3707362296240586e+08,3.2432350718412938e+09,5.7982364616934633e+09,1.3707362296240586e+08,2.0422294255695306e-07,-6.4426785684190691e-08
22,6.4994809448690172e-05,3.5073775857003014e-06,9.6996718494105551e+01,1.0985982772401900e+02,1.0215534392718236e+02,1.4491887443216321e+08,3.2435224506489649e+09,5.7984243317967663e+09,1.4491887443216321e+08,-1.1534211807884276e-08,6.2563822211814113e-07
23,6.6293541428745381e-05,1.2987319800552091e-06,9.8937144626991326e+01,1.0985982772401900e+02,1.0215534392717036e+02,1.4782456842415017e+08,3.2436286695547647e+09,5.7984938766463842e+09,1.4782456842415017e+08,3.9084625313989818e-07,3.3663236820302700e-07
